caldt,spret
20031104,-0.005461
20031105,-0.001016
20031106,0.005769
20031107,-0.004391
20031110,-0.005751
20031111,-0.000464
20031112,0.011811
20031113,-0.00007
20031114,-0.007441
20031117,-0.006666
20031118,-0.008659
20031119,0.008253
20031120,-0.008429
20031121,0.001325
20031124,0.015991
20031125,0.002153
20031126,0.004292
20031128,0.000257
20031201,0.010864
20031202,-0.003141
20031203,-0.001255
20031204,0.004582
20031205,-0.007591
20031208,0.006946
20031209,-0.008243
20031210,-0.000868
20031211,0.011753
20031212,0.002678
20031215,-0.005515
20031216,0.006368
20031217,0.001538
20031218,0.012038
20031219,-0.000488
20031222,0.003851
20031223,0.002831
20031224,-0.001779
20031226,0.001659
20031229,0.012699
20031230,0.000058
20031231,0.001977
20040102,-0.002718
20040105,0.012364
20040106,0.001528
20040107,0.002585
20040108,0.004679
20040109,-0.008475
20040112,0.004793
20040113,-0.005393
20040114,0.008278
20040115,0.001495
20040116,0.006694
20040120,-0.000525
20040121,0.007649
20040122,-0.003036
20040123,-0.002351
20040126,0.012178
20040127,-0.009621
20040128,-0.013277
20040129,0.005016
20040130,-0.002478
20040202,0.00364
20040203,0.000614
20040204,-0.008127
20040205,0.002054
20040206,0.012434
20040209,-0.002286
20040210,0.00484
20040211,0.011368
20040212,-0.004601
20040213,-0.005269
20040217,0.009678
20040218,-0.004407
20040219,-0.003957
20040220,-0.0025
20040223,-0.00287
20040224,-0.001514
20040225,0.00426
20040226,0.001237
20040227,-0.000024
20040301,0.009762
20040302,-0.005752
20040303,0.001919
20040304,0.003157
20040305,0.001926
20040308,-0.00826
20040309,-0.005721
20040310,-0.014679
20040311,-0.014918
20040312,0.012322
20040315,-0.01423
20040316,0.00573
20040317,0.011729
20040318,-0.001203
20040319,-0.0112
20040322,-0.013048
20040323,-0.001156
20040324,-0.002434
20040325,0.016206
20040326,-0.000815
20040329,0.013132
20040330,0.004022
20040331,-0.000659
20040401,0.005428
20040402,0.008499
20040405,0.007584
20040406,-0.001835
20040407,-0.006451
20040408,-0.001078
20040412,0.005075
20040413,-0.013717
20040414,-0.001355
20040415,0.000772
20040416,0.005128
20040419,0.000979
20040420,-0.015488
20040421,0.0054
20040422,0.014153
20040423,0.000458
20040426,-0.004327
20040427,0.002277
20040428,-0.01386
20040429,-0.007199
20040430,-0.005701
20040503,0.009089
20040504,0.001954
20040505,0.001962
20040506,-0.006614
20040507,-0.013799
20040510,-0.01045
20040511,0.007734
20040512,0.00216
20040513,-0.000728
20040514,-0.000652
20040517,-0.010458
20040518,0.006922
20040519,-0.002406
20040520,0.000429
20040521,0.004089
20040524,0.001645
20040525,0.016007
20040526,0.001853
20040527,0.005851
20040528,-0.000495
20040601,0.000453
20040602,0.003755
