date,PFE,NKE,C,TM,BIIB,AZN
20130103,-0.002316,0.010224,0.003394,-0.006459,-0.014267,-0.001866
20130104,0.004255,0.009738,0.025122,0.020656,-0.013053,0
20130107,0.00077,0.001513,0.000948,-0.018595,0.003358,-0.000831
20130108,0.00154,-0.010574,-0.000236,-0.016749,-0.013864,0.000831
20130109,0.017294,0.000954,-0.009892,0.018418,-0.002147,-0.006438
20130110,0.010956,0.001907,0.018792,0.012544,-0.00118,0.017768
20130111,-0.008969,0.010466,-0.011441,-0.007743,-0.000834,0.000411
20130114,0.008296,0.001695,-0.002834,0.007179,0.000626,0.001232
20130115,-0.004488,0.00846,0.00829,-0.003822,-0.006047,0.006356
20130116,-0.000376,0.001678,-0.002114,-0.018563,-0.001328,-0.011206
20130117,0.008268,-0.004653,-0.02919,0.022612,0.006302,0.012364
20130118,-0.010809,-0.003553,0.010184,-0.009196,0.003896,-0.00285
20130122,0.005275,0.003565,0.00288,-0.011054,0.00402,-0.001429
20130123,-0.001124,-0.007292,0.005744,-0.004007,-0.009043,0.001227
20130124,0.007505,0.014504,0.018563,0.013658,0.019923,0.011229
20130125,0.005587,0.031378,0.00257,0.00376,-0.001434,0.009893
20130128,-0.005926,-0.018902,-0.013284,-0.013736,0.025923,-0.015394
20130129,0.032042,-0.010642,-0.004251,0.008652,0.026202,0.016447
20130130,0.001805,-0.005749,-0.004981,0,0.007536,-0.004994
20130131,-0.008361,0.008207,0.005244,-0.002406,0.006448,-0.032724
20130201,0.01283,-0.006475,0.020398,0.02894,0.007817,0.004981
20130204,-0.016649,-0.000745,-0.018828,-0.003057,-0.009981,-0.009087
20130205,0.012514,0.004286,0.016821,0.010528,0.010467,-0.001042
20130206,-0.006907,0.00501,0.003029,0.039854,0.023005,0.00146
20130207,-0.013177,0.009601,-0.004181,0,-0.004224,-0.011042
20130208,-0.002967,-0.001646,-0.004432,0.016051,0.025827,-0.000843
20130211,0.009673,0.011541,0.011012,0.014169,-0.002919,0
20130212,-0.005527,-0.002354,0.02781,-0.010384,0.009088,-0.000211
20130213,0.000371,-0.009621,-0.007892,-0.005914,0.00278,0.00717
20130214,0.002222,0.0011,0.007273,-0.015066,-0.007956,-0.011775
20130215,0.0085,0.006042,-0.01083,-0.00039,0.025214,0.007502
20130219,0.01539,-0.008735,0.015055,-0.00078,-0.011438,0.000219
20130220,-0.005052,-0.008261,-0.028764,0.000683,-0.012229,-0.01051
20130221,-0.005803,0.009626,-0.02013,-0.014524,-0.01317,-0.011507
20130222,-0.001095,-0.001283,0.01039,0.012265,0.01107,0.011417
20130225,-0.019722,-0.007894,-0.038327,-0.028532,-0.018491,-0.007525
20130226,0.007079,0.004256,0.003402,0.030577,0.003904,0.000892
20130227,0.014058,0.00129,0.02107,-0.008296,0.025125,0.016711
20130228,-0.001459,0.006073,-0.004507,0.009743,0.001686,-0.004164
20130301,0.000731,0.00661,0.003336,0.000877,0.014188,0.00022
20130304,0.010953,-0.001642,0.01971,-0.002435,0.007469,0.00528
20130305,0.013723,0.003106,0.01537,0.008395,0.007943,0.007223
20130306,0.001781,0.007286,0.022477,0.011133,0.006655,-0.006084
20130307,0.005334,-0.001447,0.009421,-0.011393,-0.005683,0.001312
20130308,-0.00283,-0.009598,0.037333,0.004164,0.005307,-0.003275
20130311,0.002128,-0.002926,0.019709,0.004822,0.01021,-0.00241
20130312,-0.010973,-0.019072,-0.013655,-0.013725,0.010968,0.007905
20130313,0.002863,0.025425,0.000426,0.001849,0.000568,-0.001089
20130314,0.003212,-0.002917,0.010432,0.005731,0.003577,0.014613
20130315,-0.003202,0.001646,-0.004214,0.003767,0,-0.00129
20130318,0.000714,-0.011318,-0.021583,-0.010199,-0.007127,-0.006027
20130319,-0.001783,-0.006093,-0.009732,0.002722,0.000513,0.003898
20130320,0.010718,0.018577,0.006552,0.010955,0.014179,-0.003883
20130321,-0.006363,-0.022433,-0.018659,-0.007192,-0.008703,0.038328
20130322,0.009605,0.110634,0,0.004443,0.008213,0.025026
20130325,-0.007752,0.000504,-0.016361,-0.006539,-0.01,0.009563
20130326,0.015625,-0.001511,0.007642,0.015029,0.004937,-0.004232
20130327,0.001399,-0.017152,-0.008253,-0.004826,0.031566,-0.003845
20130328,0.007682,0.009581,-0.004948,-0.004462,0.054401,0.015441
20130401,-0.000693,-0.01271,-0.010172,-0.013835,0.000789,0.002601
20130402,0.013523,0.010985,0.007308,-0.012547,0.028116,0.00459
20130403,-0.006842,0.00017,-0.0365,0.009305,-0.012362,-0.008542
