Date,NDAQ,BLV,AMGN, CVX
6/17/2013,-0.000920203,-0.052190694,0.008827753,-0.011223824
6/24/2013,0.006754764,0.017200196,0.003866598,-0.004960882
7/1/2013,0.015553438,-0.01885681,-0.010338605,0.01833698
7/8/2013,0.030030029,0.012612597,0.067902454,0.02945814
7/15/2013,-0.011953277,0.010794761,0.049103361,0.022972809
7/22/2013,-0.028622081,-0.006219907,0.001919683,0.005121673
7/29/2013,0.001822642,-0.010332464,-0.004927005,-0.020460976
8/5/2013,-0.03244391,0.003473862,0.005226522,-0.019607787
8/12/2013,-0.03509867,-0.03187297,-0.038865669,-0.013303384
8/19/2013,0.001299075,0.009864374,0.006576968,-0.002919566
8/26/2013,-0.031462803,0.011599446,0.031628843,0.007529496
9/3/2013,0.021768209,-0.021689074,0.019001307,0.006476805
9/9/2013,0.028570451,0.006068909,0.03648314,0.024172909
9/16/2013,0.026560059,0.014034235,0.015557091,0.006283242
9/23/2013,0.003740588,0.009712142,-0.031322193,-0.018251691
9/30/2013,0.021739178,-0.000910239,-0.002473675,-0.036774352
10/7/2013,0.008206649,0,-0.017890379,-0.003893993
10/14/2013,0.029544753,0.016793552,0.03634228,0.016826734
10/21/2013,0.045388074,0.008911637,0.0121824,0.007856244
10/28/2013,-0.0112046,-0.012411787,0.020374864,-0.021394762
11/4/2013,0.017847092,-0.020469239,-0.046170738,0.026946884
11/11/2013,0.032006751,0.011609431,0.019870232,-0.001005577
11/18/2013,0.068230794,-0.003624002,-0.016959527,0.033066856
11/25/2013,-0.008078786,0.004000847,0.009289626,-0.012819478
12/2/2013,-0.010435207,-0.008255455,0.000350655,-0.001225089
12/9/2013,-0.005162181,0.007334125,-0.017174899,-0.01954373
12/16/2013,0.03657593,0.009464877,0.016672535,0.024020035
12/23/2013,-0.001001067,-0.015214644,0.009558977,0.019954424
12/30/2013,-0.003507013,0.0058824,-0.005646306,-0.007027103
1/6/2014,0.003519355,0.016812829,0.030750376,-0.026859637
1/13/2014,-0.005009937,0.005990873,0.009831339,-0.014213701
1/21/2014,-0.053373648,0.010600341,0.001175031,-0.025148839
1/27/2014,0.014627744,0.010017661,-0.002850249,-0.040072256
2/3/2014,-0.01598962,-0.00515336,-0.000420319,0.003762512
2/10/2014,0.031433147,0.000117649,0.046855739,0.02175808
2/18/2014,0.005423565,0.001883506,8.07922E-05,-0.007049735
2/24/2014,-0.013871089,0.013276905,0.001372575,0.023517889
3/3/2014,0.062516368,-0.01786962,-0.014191223,-0.002167699
3/10/2014,-0.03261333,0.015754611,0.002290228,-0.008515816
3/17/2014,-0.045512304,0.000932899,0.003182599,0.013409255
3/24/2014,-0.021843365,0.012466507,-0.019360543,0.024820593
3/31/2014,-0.011437978,-0.003954585,-0.011945273,0.002531667
4/7/2014,-0.042148706,0.017047365,-0.060196437,-0.014898985
4/14/2014,0.00690238,-0.001140178,0.031445387,0.056823027
4/21/2014,0.029705794,0.009018259,-0.035077037,0.002506466
4/28/2014,0.022191457,0.013164883,0.00906555,0.005887566
5/5/2014,-0.013025829,-0.008403388,-0.008361475,0.002485566
5/12/2014,-0.008523414,0.013333357,0.009638513,-0.00638666
5/19/2014,0.010815362,-0.006021453,0.021350723,0.001542507
5/27/2014,0.039780511,0.009759938,0.01451933,-0.004701323
6/2/2014,-0.007651783,-0.012085576,0.015777205,0.011401555
6/9/2014,-0.019437749,0.004062814,-0.015192674,0.024720217
6/16/2014,0.028586953,-0.003596737,0.042575234,0.039918254
6/23/2014,0.012175886,0.012182752,-0.019674377,-0.014961449
6/30/2014,0.044455939,-0.014667115,0.035922108,0.006367006
7/7/2014,-0.020781078,0.018613134,-0.025071223,-0.020733307
7/14/2014,0.048069522,0.006685184,-0.012273444,0.014945076
7/21/2014,0.033422751,0.004980744,0.03837694,0.024388469
7/28/2014,-0.009206759,-0.009965881,0.022061237,-0.042449706
8/4/2014,-0.008100992,0.011496846,0.011150878,-0.000312763
8/11/2014,0.011770226,0.012138586,0.051117245,-0.005382619
8/18/2014,0.015432186,-0.001308367,0.000150661,0.00800956
8/25/2014,0.016366593,0.013318812,0.049390088,0.018409191
9/2/2014,-0.00805152,-0.01999131,-0.010761903,-0.015836153
9/8/2014,0.02072618,-0.02106084,7.24958E-05,-0.03720565
9/15/2014,0.000912022,0.00878581,0.044383138,0.017446609
9/22/2014,-0.034396407,0.006811025,-0.020484734,-0.026682732
9/29/2014,0.008256731,0.011380108,-0.013540272,-0.030954142
10/6/2014,-0.032288228,0.015401604,-0.012648235,-0.032452625
10/13/2014,-0.029013606,0.008342287,-0.026930614,-0.018351024
10/20/2014,0.017928278,-0.011281886,0.101503449,0.036762081
10/27/2014,0.058219139,-0.003803449,0.101317403,0.034854537
11/3/2014,0.014332041,0.002528193,-0.011900347,-0.009587232
11/10/2014,-0.002279004,-0.003711794,-0.012277662,-0.011795348
11/17/2014,0.007309299,0.002410736,0.032534265,0.019429197
11/24/2014,0.018367318,0.015741082,0.015355344,-0.081885629
12/1/2014,0.017145481,-0.009706383,0.023773522,0.018370533
12/8/2014,0.012686383,0.02420405,-0.027830291,-0.076576206
12/15/2014,0.055953073,0.001490316,0.034279471,0.103047513
12/22/2014,0.000205395,-0.002738504,-0.039431105,0.002833577
12/29/2014,-0.017248463,0.015721945,-0.021840256,-0.005916088
1/5/2015,0.013372379,0.016531503,-0.02601796,-0.038816887
1/12/2015,-0.045567032,0.009011825,0.017337702,-0.02855554
1/20/2015,0.005832831,0.012319058,0.00871051,0.016457343
1/26/2015,-0.020618665,0.018659274,-0.047243601,-0.04043054
2/2/2015,0.079824655,-0.033362861,-0.005648253,0.069053005
2/9/2015,0.00487404,-0.016115719,0.019105346,0.039029499
2/17/2015,0.029506849,-0.009344884,0.027234862,-0.03706329
2/23/2015,-0.015312057,0.017170134,0.00038059,-0.017679583
3/2/2015,0.000598025,-0.031674867,-0.018006621,-0.02934007
3/9/2015,0.00423001,0.017159481,-0.004003118,-0.018638315
3/16/2015,0.003781053,0.027480095,0.10268387,0.053237486
3/23/2015,-0.014670844,-0.004130492,-0.04415055,-0.025693748
3/30/2015,0.00824954,0.005638423,-0.041269417,0.009589575
4/6/2015,0.009379396,-0.006523141,0.048113904,0.015482587
4/13/2015,-0.037564283,0.009901071,0.001224088,0.020578008
4/20/2015,-0.002259719,-0.010319985,0.026470287,0.006965476
4/27/2015,0.009882691,-0.036241789,-0.044964572,-0.007554383
5/4/2015,0.030581042,-0.000759812,0.012347132,-0.003576668
5/11/2015,0.012660692,-0.011296977,0.005053376,0.004201285
5/18/2015,0.027935144,-0.007360971,0.00751419,-0.029065936
5/26/2015,-0.016533616,0.007526309,-0.044748806,-0.018018914
6/1/2015,-0.023574891,-0.027557276,0.006335671,-0.013689331
6/8/2015,0.009187838,-0.000226795,-0.007186029,-0.016930756
6/15/2015,-0.00689799,0.007256205,0.029464532,-0.00400518
6/22/2015,-0.013693171,-0.025664077,-0.016799411,-0.008746454
6/29/2015,-0.011468803,0.008443849,-0.030122766,-0.027687548
7/6/2015,0.027478148,-0.001264548,0.005480943,-0.015228968
7/13/2015,0.026941312,0.014042368,0.059506754,-0.01334606
7/20/2015,0.000964498,0.011804815,-0.028664231,-0.027375239
7/27/2015,-0.016573518,0.009535546,0.113500217,-0.023399468
8/3/2015,0.037232994,0.006122428,-0.0242369,-0.053458495
8/10/2015,0.025127531,-0.002216859,-0.022110244,0.026746282
8/17/2015,-0.04994471,0.006443007,-0.07470784,-0.107866182
8/24/2015,-0.001163834,-0.016887405,0.004510581,0.061641999
8/31/2015,-0.023111332,0.008714418,-0.056899064,-0.04674875
9/8/2015,0.03380106,-0.007700858,0.042103134,-0.011477723
9/14/2015,-0.02473428,0,-0.017100782,0.025728948
9/21/2015,0.059639369,-0.00438651,-0.080084981,-0.000514549
9/28/2015,-0.015893773,0.016811397,0.028441507,0.049549629
10/5/2015,0.008740243,-0.004346815,0.049975398,0.098344533
10/12/2015,0.035411584,0.009739098,0.020188549,0.019202869
10/19/2015,0.068219027,-0.002993286,0.020575316,-0.000547738
10/26/2015,-0.014134911,-0.003002373,0.015601881,-0.003945649
11/2/2015,0.006046001,-0.021810864,0.014414048,0.034661115
11/9/2015,0.005666174,-0.001372875,-0.013025127,-0.008507881
