,Mkt-RF,RF
19480313,-0.41,0.022
19480320,3.6,0.022
19480327,0.76,0.022
19480403,2.77,0.02
19480410,1.01,0.02
19480417,0.98,0.02
19480424,2.06,0.02
19480501,-1.12,0.019
19480508,1.64,0.019
19480515,4.49,0.019
19480522,0.87,0.019
19480528,0.42,0.019
19480604,-0.69,0.023
19480611,2.06,0.023
19480618,-0.5,0.023
19480625,-0.67,0.023
19480702,0.18,0.02
19480709,0.45,0.02
19480716,-3.34,0.02
19480723,-0.32,0.02
19480730,-2.42,0.02
19480806,1.29,0.021
19480813,-2.14,0.021
19480820,2,0.021
19480827,-0.26,0.021
19480903,1.27,0.009
19480910,-2.72,0.009
19480917,-0.48,0.009
19480924,-0.87,0.009
19481002,0.73,0.01
19481009,0.96,0.01
19481016,1.39,0.01
19481023,2.99,0.01
19481030,-0.99,0.01
19481106,-5.74,0.01
19481113,-2.39,0.01
19481120,2.01,0.01
19481127,-2.41,0.01
19481204,2.28,0.011
19481211,0.66,0.011
19481218,-0.98,0.011
19481224,0.65,0.011
19481231,-0.39,0.011
19490108,2.88,0.024
19490115,-1.86,0.024
19490122,1.3,0.024
19490129,-1.88,0.024
19490205,-2.48,0.022
19490211,-1.44,0.022
19490219,1.63,0.022
19490226,-1.62,0.022
19490305,2.46,0.024
19490312,2.06,0.024
19490319,-0.88,0.024
19490326,-0.09,0.024
19490402,0.97,0.023
19490409,0.13,0.023
19490416,-0.05,0.023
19490423,-1.42,0.023
19490430,-0.2,0.023
19490507,1.1,0.025
19490514,0.37,0.025
19490521,-1.18,0.025
19490527,-1.26,0.025
19490603,-2.69,0.024
19490610,-1.45,0.024
19490617,0.09,0.024
19490624,2,0.024
19490701,0.88,0.022
19490708,1.3,0.022
19490715,1.6,0.022
19490722,1.08,0.022
19490729,0.73,0.022
19490805,1.95,0.023
19490812,0.77,0.023
19490819,1.07,0.023
19490826,-1.05,0.023
19490902,0.57,0.022
19490909,0.61,0.022
19490916,1.97,0.022
19490923,-0.39,0.022
19491001,-0.3,0.022
19491008,2.26,0.022
19491015,0.42,0.022
19491022,0.02,0.022
19491029,1.24,0.022
19491105,1.24,0.021
19491112,-0.38,0.021
19491119,1.26,0.021
19491126,-0.51,0.021
19491203,2.05,0.022
19491210,0.48,0.022
19491217,1.63,0.022
19491223,0.08,0.022
19491231,0.59,0.022
19500107,1.77,0.023
19500114,-1.98,0.023
19500121,1.39,0.023
19500128,-0.28,0.023
19500204,2.39,0.021
19500211,-0.38,0.021
19500218,0.37,0.021
19500225,0.14,0.021
19500304,0.82,0.024
19500311,-0.84,0.024
19500318,2.1,0.024
19500325,0.77,0.024
19500401,-1.49,0.021
19500408,2.57,0.021
19500415,-0.01,0.021
19500422,0.21,0.021
19500429,0.87,0.021
19500506,1.26,0.026
19500513,0.31,0.026
19500520,2.48,0.026
19500527,-0.32,0.026
19500602,0.47,0.024
19500609,1.64,0.024
19500616,-1.21,0.024
19500623,1.02,0.024
19500630,-7.25,0.024
19500707,-0.17,0.025
19500714,-4,0.025
19500721,4.88,0.025
19500728,0.42,0.025
19500804,1.99,0.024
19500811,1.56,0.024
19500818,2.29,0.024
19500825,-0.48,0.024
19500901,0.35,0.025
19500908,1.07,0.025
19500915,2.37,0.025
19500922,0.78,0.025
19500929,0.03,0.025
19501007,2.72,0.029
19501014,-1.39,0.029
19501021,1.41,0.029
19501028,-1.32,0.029
19501104,-0.23,0.026
19501110,1.33,0.026
19501118,1.65,0.026
19501125,1.72,0.026
19501202,-3.07,0.028
19501209,0.04,0.028
19501216,1.14,0.028
19501222,2.32,0.028
19501230,1.8,0.028
19510106,1.93,0.031
19510113,1.1,0.031
19510120,1.52,0.031
19510127,0.35,0.031
19510203,2.43,0.026
19510210,0.86,0.026
19510217,0.04,0.026
19510224,-0.49,0.026
19510303,-0.01,0.027
19510310,-0.15,0.027
19510317,-1.48,0.027
19510324,-0.89,0.027
19510331,-0.38,0.027
19510407,1.37,0.032
19510414,2.36,0.032
19510421,-0.47,0.032
19510428,1.6,0.032
19510505,1.07,0.031
19510512,-1.22,0.031
19510519,-2.48,0.031
19510526,-1.52,0.031
19510601,1.64,0.029
19510608,0.4,0.029
19510615,1.79,0.029
19510622,-1.96,0.029
19510629,-2.67,0.029
19510706,2.87,0.034
19510713,1.2,0.034
19510720,0.1,0.034
19510727,2.66,0.034
19510803,1.81,0.033
19510810,-0.08,0.033
19510817,1.22,0.033
19510824,-0.28,0.033
19510831,1.48,0.033
19510907,1.61,0.03
19510914,0.83,0.03
19510921,-1.22,0.03
19510928,-0.51,0.03
19511006,1.89,0.039
19511013,-0.09,0.039
19511020,-2.88,0.039
19511027,-3.27,0.039
19511103,0.96,0.027
19511110,0.99,0.027
19511117,-0.05,0.027
19511124,-2.02,0.027
19511201,2.88,0.031
19511208,2,0.031
19511215,-0.12,0.031
19511222,0.33,0.031
19511229,0.58,0.031
19520105,0.81,0.039
19520112,0.56,0.039
19520119,0.87,0.039
19520126,0.89,0.039
19520202,-0.46,0.029
19520209,-0.34,0.029
19520216,-1.3,0.029
19520223,-2.02,0.029
19520301,0.14,0.027
19520308,2.29,0.027
19520315,0.48,0.027
19520322,0.13,0.027
19520329,1.31,0.027
19520405,-1.35,0.029
19520412,0.01,0.029
19520419,-2.35,0.029
19520426,-0.06,0.029
19520503,-0.24,0.033
19520510,1.39,0.033
19520517,-0.59,0.033
19520524,1.47,0.033
19520529,-0.13,0.033
19520606,1.53,0.037
19520613,0.54,0.037
19520620,0.6,0.037
19520627,0.75,0.037
19520703,0.7,0.038
19520711,-0.3,0.038
19520718,-0.56,0.038
19520725,0.93,0.038
19520801,0.54,0.037
19520808,0.3,0.037
19520815,-0.91,0.037
19520822,-0.66,0.037
19520829,0.44,0.037
19520905,0.33,0.041
19520912,-1.99,0.041
19520919,-0.26,0.041
19520926,0.48,0.041
19521003,-1.05,0.035
19521010,0.27,0.035
19521017,-1.3,0.035
19521024,-0.72,0.035
19521031,1.55,0.035
19521107,1.87,0.026
19521114,-0.06,0.026
19521121,2.19,0.026
19521128,1.86,0.026
19521205,0.18,0.041
19521212,1.18,0.041
19521219,0.33,0.041
19521226,0.26,0.041
19530102,0.98,0.04
19530109,-1.3,0.04
19530116,-0.27,0.04
19530123,0.13,0.04
19530130,1.04,0.04
19530206,-1.46,0.035
19530213,0.01,0.035
19530220,-0.19,0.035
19530227,1.4,0.035
19530306,0.02,0.046
19530313,1.17,0.046
19530320,0.4,0.046
19530327,-0.39,0.046
19530402,-2.59,0.04
19530410,-1.72,0.04
19530417,-0.61,0.04
19530424,-1.88,0.04
19530501,1.74,0.043
19530508,1,0.043
19530515,0.05,0.043
19530522,0.83,0.043
19530529,-1.75,0.043
19530605,-1.94,0.046
19530612,-1.07,0.046
19530619,0.11,0.046
19530626,1.3,0.046
19530703,0.72,0.036
19530710,0.07,0.036
19530717,-0.11,0.036
19530724,-0.36,0.036
19530731,1.78,0.036
19530807,0.9,0.042
19530814,-0.05,0.042
19530821,-1.16,0.042
19530828,-2.54,0.042
19530904,-0.68,0.04
19530911,-2.03,0.04
19530918,-0.92,0.04
19530925,1.73,0.04
19531002,1.37,0.031
19531009,0.1,0.031
19531016,2.01,0.031
19531023,0.69,0.031
19531030,0.71,0.031
19531106,1.3,0.019
19531113,-0.1,0.019
19531120,-0.22,0.019
19531127,1.27,0.019
19531204,1.39,0.032
19531211,-0.72,0.032
19531218,0.85,0.032
19531224,-0.67,0.032
19531231,-0.3,0.032
19540108,0.85,0.027
19540115,1.88,0.027
19540122,1.29,0.027
19540129,1.03,0.027
19540205,1.21,0.018
19540212,0.05,0.018
19540219,-0.48,0.018
19540226,0.89,0.018
19540305,1.47,0.019
19540312,0.66,0.019
19540319,0.7,0.019
19540326,-0.7,0.019
19540402,2.3,0.022
19540409,0.87,0.022
19540415,1.22,0.022
19540423,0.02,0.022
19540430,1.27,0.022
19540507,0.87,0.013
19540514,0.73,0.013
19540521,1.05,0.013
19540528,0.42,0.013
19540604,-0.14,0.015
19540611,-1.42,0.015
19540618,1.49,0.015
19540625,1.1,0.015
19540702,1.09,0.013
19540709,1.2,0.013
19540716,0.02,0.013
19540723,1.19,0.013
19540730,1.48,0.013
19540806,-0.87,0.012
19540813,1.41,0.012
19540820,1.21,0.012
19540827,-1.67,0.012
19540903,-0.34,0.022
19540910,1.16,0.022
19540917,1.79,0.022
19540924,1.69,0.022
19541001,-0.38,0.017
19541008,0.84,0.017
19541015,-2.52,0.017
19541022,1.49,0.017
19541029,-1.56,0.017
19541105,3.44,0.016
19541112,2.66,0.016
19541119,0.62,0.016
19541126,2.74,0.016
19541203,0.79,0.021
19541210,0.41,0.021
19541217,1.13,0.021
19541223,0.94,0.021
19541231,1.74,0.021
19550107,-1.76,0.02
19550114,0.15,0.02
19550121,0.16,0.02
19550128,1.32,0.02
19550204,2,0.021
19550211,1.5,0.021
19550218,0.2,0.021
19550225,-0.46,0.021
19550304,2.3,0.025
19550311,-4.15,0.025
19550318,0.93,0.025
19550325,2.3,0.025
19550401,-0.1,0.026
19550407,0.8,0.026
19550415,1.42,0.026
19550422,-0.21,0.026
19550429,0.22,0.026
19550506,0.16,0.035
19550513,-1.04,0.035
19550520,1.01,0.035
19550527,0.79,0.035
19550603,1.14,0.026
19550610,1.75,0.026
19550617,2,0.026
19550624,1.1,0.026
19550701,0.81,0.025
19550708,0.59,0.025
19550715,0,0.025
19550722,0.97,0.025
19550729,-0.09,0.025
19550805,-1.54,0.04
19550812,-0.29,0.04
19550819,-0.59,0.04
19550826,2.06,0.04
19550902,1.31,0.04
19550909,0.9,0.04
19550916,1.63,0.04
19550923,0.84,0.04
19550930,-4.34,0.04
19551007,-2.44,0.045
19551014,-2.23,0.045
19551021,2.6,0.045
19551028,-0.47,0.045
19551104,2.88,0.042
19551111,2.1,0.042
19551118,0.79,0.042
19551125,0.87,0.042
19551202,0.27,0.045
19551209,0.98,0.045
19551216,-0.96,0.045
19551223,1.01,0.045
19551230,0.33,0.045
19560106,-0.63,0.055
19560113,-0.85,0.055
19560120,-3.07,0.055
19560127,0.48,0.055
19560203,2.76,0.048
19560210,-1.97,0.048
19560217,1.96,0.048
19560224,2.01,0.048
19560302,1.39,0.038
19560309,2.02,0.038
19560316,2.01,0.038
19560323,0.99,0.038
19560329,0.09,0.038
19560406,0.75,0.046
19560413,-1.56,0.046
19560420,-0.18,0.046
19560427,0.61,0.046
19560504,1.36,0.058
19560511,-1.73,0.058
19560518,-1.36,0.058
19560525,-3.92,0.058
19560601,1.56,0.05
19560608,-0.97,0.05
19560615,2.69,0.05
19560622,0.38,0.05
19560629,0.88,0.05
19560706,1.9,0.054
19560713,1.25,0.054
19560720,1.21,0.054
19560727,-0.3,0.054
19560803,1.16,0.041
19560810,-0.4,0.041
19560817,-0.54,0.041
19560824,-1.56,0.041
19560831,-1.22,0.041
19560907,0.68,0.046
19560914,-1.36,0.046
19560921,-1.49,0.046
19560928,-3.03,0.046
19561005,1.99,0.062
19561012,0.97,0.062
19561019,-0.94,0.062
19561026,-0.09,0.062
19561102,1.17,0.051
19561109,-0.47,0.051
19561116,-0.77,0.051
19561123,-0.93,0.051
19561130,-0.03,0.051
19561207,3.26,0.059
19561214,-0.52,0.059
19561221,-0.34,0.059
19561228,0.39,0.059
19570104,0.56,0.067
19570111,-0.52,0.067
19570118,-3.37,0.067
19570125,0.27,0.067
19570201,-0.59,0.06
19570208,-2.06,0.06
19570215,0.53,0.06
19570221,0.02,0.06
19570301,0.73,0.058
19570308,0.8,0.058
19570315,0.22,0.058
19570322,-0.05,0.058
19570329,0.23,0.058
19570405,0.76,0.063
19570412,1.69,0.063
19570418,0.84,0.063
19570426,0.37,0.063
19570503,1.7,0.064
19570510,0.66,0.064
19570517,1.23,0.064
19570524,0.03,0.064
19570531,0.22,0.064
19570607,0.36,0.06
19570614,0.9,0.06
19570621,-2.33,0.06
19570628,0.35,0.06
19570705,2.6,0.074
19570712,0.79,0.074
19570719,-1.1,0.074
19570726,-0.62,0.074
19570802,-1.33,0.063
19570809,-1.43,0.063
19570816,-2.13,0.063
19570823,-2.69,0.063
19570830,1.4,0.063
19570906,-1.05,0.064
19570913,0.2,0.064
19570920,-2.37,0.064
19570927,-2.56,0.064
19571004,0.56,0.072
19571011,-5.07,0.072
19571018,-1.71,0.072
19571025,0.42,0.072
19571101,-0.27,0.069
19571108,-0.33,0.069
19571115,0.52,0.069
19571122,1.35,0.069
19571129,2.2,0.069
19571206,-0.89,0.06
19571213,-1.17,0.06
19571220,-3.07,0.06
19571227,0.71,0.06
19580103,2.79,0.069
19580110,-1.14,0.069
19580117,1.88,0.069
19580124,1.54,0.069
19580131,-0.04,0.069
19580207,0.33,0.03
19580214,-0.84,0.03
19580221,-1.01,0.03
19580228,-0.02,0.03
19580307,2.92,0.024
19580314,0.79,0.024
19580321,0.21,0.024
19580328,-0.34,0.024
19580403,-1.73,0.02
19580411,0.72,0.02
19580418,2.14,0.02
19580425,1.51,0.02
19580502,0.69,0.027
19580509,0.98,0.027
19580516,-1.13,0.027
19580523,1.32,0.027
19580529,0.57,0.027
19580606,1.28,0.007
19580613,0.95,0.007
19580620,-0.28,0.007
19580627,0.33,0.007
19580703,1.18,0.017
19580711,0.55,0.017
19580718,0.22,0.017
19580725,2.57,0.017
19580801,1.2,0.011
19580808,1.24,0.011
19580815,-0.89,0.011
19580822,0.58,0.011
19580829,0.22,0.011
19580905,0.6,0.048
19580912,1.05,0.048
19580919,1.65,0.048
19580926,0.44,0.048
19581003,1.3,0.046
19581010,1.81,0.046
19581017,0.1,0.046
19581024,-1.03,0.046
19581031,1.1,0.046
19581107,1.94,0.027
19581114,1.75,0.027
19581121,-0.58,0.027
19581128,-0.11,0.027
19581205,0.18,0.056
19581212,1.46,0.056
19581219,1.35,0.056
19581224,0.17,0.056
19590102,2.2,0.051
19590109,0.7,0.051
19590116,0.26,0.051
